CARPETA,Numero de documentos,Nombres de documentos,Número de documentos de tipo video,Nombre de documentos de tipo video,Tamaño (bytes),Tamaño (legible),Formato de video,Numero de subcarpetas,Nombre de subcarpetas,Year,RAW_TITLE,RAW_DIRECTION,RAW_COUNTRY,FOLDER_NAME_TYPE
Amintiri din epoca de aur (Tales from the Golden Age) [2009] RUM Cristian Mungiu,4,Historias de la edad de oro - Mungiu 2009 1 ES.srt; Historias de la edad de oro - Mungiu 2009 1.avi; Historias de la edad de oro - Mungiu 2009 2 ES.srt; Historias de la edad de oro - Mungiu 2009 2.avi,2,Historias de la edad de oro - Mungiu 2009 1.avi; Historias de la edad de oro - Mungiu 2009 2.avi,1754769402,1.6 GB,avi,0,No,2009,Amintiri din epoca de aur (Tales from the Golden Age),Cristian Mungiu,ROU,4
Annie Hall [1977] US Woody Allen,1,Annie Hall (Woody Allen 1977) XviD DVDRip.avi,1,Annie Hall (Woody Allen 1977) XviD DVDRip.avi,730449920,696.6 MB,avi,0,No,1977,Annie Hall,Woody Allen,USA,4
Antichrist [2009] DEN Lars Von Trier,1,Antichrist (2009) VOS.rmvb,1,Antichrist (2009) VOS.rmvb,435184260,415.0 MB,rmvb,0,No,2009,Antichrist,Lars Von Trier,DNK,4
Apartado de Correos 1001 - Salvador 1950,1,Apartado de Correos 1001 - Salvador 1950.avi,1,Apartado de Correos 1001 - Salvador 1950.avi,1011298304,964.4 MB,avi,0,No,1950,Apartado de Correos 1001,Salvador ,,8
Armonías de Werckmeister - Tarr 2000,4,Armonías de Werckmeister - Tarr 2000.mpg; ._Armonías de Werckmeister - Tarr 2000.mpg; B├®la Tarr-Werckmeister harm├│ni├ík (2000).FR.srt; ._B├®la Tarr-Werckmeister harm├│ni├ík (2000).FR.srt,2,Armonías de Werckmeister - Tarr 2000.mpg; ._Armonías de Werckmeister - Tarr 2000.mpg,823546256,785.4 MB,mpg,0,No,2000,Armonías de Werckmeister,Tarr ,,8
Asmaa - Salama 2011,1,Asmaa - Salama 2011.mpg,1,Asmaa - Salama 2011.mpg,1534687232,1.4 GB,mpg,0,No,2011,Asmaa,Salama ,,8
At the Circus [1939] US Edward Buzzell,0,,0,,4429854720,4.1 GB,DVD,1,VIDEO_TS,1939,At the Circus,Edward Buzzell,USA,4
Audition [1999] JAP Takashi Miike,2,Audition [1999]-AKHiUgO [h33t].avi; tracked_by_h33t_com.txt,1,Audition [1999]-AKHiUgO [h33t].avi,1178920960,1.1 GB,avi,0,No,1999,Audition,Takashi Miike,JPN,4
Awakenings [1990] US Penny Marshall,4,Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.avi; Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Spanish.srt; Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Subs.rar; ._Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.Subs.rar,1,Awakenings.1990.544x288.25fps.729kbs.V5mp3.MultiSub.WunSeeDee.avi,735619072,701.5 MB,avi,0,No,1990,Awakenings,Penny Marshall,USA,4
Baby the Rain Must Fall - Mulligan 1965,4,Baby the Rain Must Fall - Mulligan 1965.avi; ._Baby the Rain Must Fall - Mulligan 1965.avi; Baby the Rain Must Fall - Mulligan 1965.srt; ._Baby the Rain Must Fall - Mulligan 1965.srt,2,Baby the Rain Must Fall - Mulligan 1965.avi; ._Baby the Rain Must Fall - Mulligan 1965.avi,1135800320,1.1 GB,avi,0,No,1965,Baby the Rain Must Fall,Mulligan ,,8
Back to the Future I,3,Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_swe.srt,1,Back.to.the.Future.1985.1080p.BluRay.x264.anoXmous_.mp4,2150607414,2.0 GB,mp4,0,No,,Back To The Future I,,,1
Back to the Future II,3,Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_swe.srt,1,Back.to.the.Future.II.1989.1080p.BluRay.x264.anoXmous_.mp4,2001551398,1.9 GB,mp4,0,No,,Back To The Future Ii,,,1
Back to the Future III,3,Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_.mp4; Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_eng.srt; Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_swe.srt,1,Back.to.the.Future.III.1990.1080p.BluRay.x264.anoXmous_.mp4,2192051139,2.0 GB,mp4,0,No,,Back To The Future Iii,,,1
Bad for Each Other - Rapper1953,2,Bad for Each Other - Rapper1953.avi; Bad for Each Other - Rapper1953.srt,1,Bad for Each Other - Rapper1953.avi,1072128000,1022.5 MB,avi,0,No,1953,Bad for Each Other,Rapper,,8
Bad Lieutenant [1992] Abel Ferrara,4,Bad Lieutenant (1992) [720p] x264 - Jalucian.jpg; Bad Lieutenant (1992) [720p] x264 - Jalucian.mp4; Bad Lieutenant (1992) [720p] x264 - Jalucian.srt; Bad Lieutenant (1992) [720p] x264 - Jalucian.txt,1,Bad Lieutenant (1992) [720p] x264 - Jalucian.mp4,840974920,802.0 MB,mp4,0,No,1992,Bad Lieutenant,Abel Ferrara,,6
Balada Triste De Trompeta [DVDRIP][Spanish][2011],1,Balada Triste De Trompeta [DVDRIP][Spanish][2011].avi,1,Balada Triste De Trompeta [DVDRIP][Spanish][2011].avi,1244147322,1.2 GB,avi,0,No,2011,Balada Triste De Trompeta,,,5
Basquiat [1997] US,1,Basquiat.avi,1,Basquiat.avi,731664384,697.8 MB,avi,0,No,1997,Basquiat,,USA,4
Batman (1989),3,Batman.1989.1080p.BluRay.x264.YIFY.mp4; Batman.1989.1080p.BluRay.x264.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg,1,Batman.1989.1080p.BluRay.x264.YIFY.mp4,1612076076,1.5 GB,mp4,1,Other,1989,Batman,,,7
Batman Returns (1992),2,Batman.Returns.1992.720p.BRrip.x264.YIFY.mp4; Batman.Returns.1992.720p.BRrip.x264.YIFY.srt,1,Batman.Returns.1992.720p.BRrip.x264.YIFY.mp4,891439616,850.1 MB,mp4,0,No,1992,Batman Returns,,,7
Beau travail - Denis 1999,4,Beau travail - Denis 1999.avi; ._Beau travail - Denis 1999.avi; Beau travail - Denis 1999.srt; ._Beau travail - Denis 1999.srt,2,Beau travail - Denis 1999.avi; ._Beau travail - Denis 1999.avi,731873280,698.0 MB,avi,0,No,1999,Beau travail,Denis ,,8
Bedlam - Robson 1946,4,Bedlam - Robson 1946.avi; ._Bedlam - Robson 1946.avi; Bedlam - Robson 1946.srt; ._Bedlam - Robson 1946.srt,2,Bedlam - Robson 1946.avi; ._Bedlam - Robson 1946.avi,837738496,798.9 MB,avi,0,No,1946,Bedlam,Robson ,,8
Beetlejuice.1988.1080p.BluRay.x264.anoXmous,3,Beetlejuice.1988.1080p.BluRay.x264.anoXmous_.mp4; Beetlejuice.1988.1080p.BluRay.x264.anoXmous_eng[SDH].srt; Beetlejuice.1988.1080p.BluRay.x264.anoXmous_swe.srt,1,Beetlejuice.1988.1080p.BluRay.x264.anoXmous_.mp4,1706883077,1.6 GB,mp4,0,No,1988,Beetlejuice,,,2
Belle de jour [1967] FR Luis Buñuel,2,Belle de Jour eng.avi; Belle de Jour eng.srt,1,Belle de Jour eng.avi,734214144,700.2 MB,avi,0,No,1967,Belle de jour,Luis Buñuel,FRA,4
Benny's Video [1992] AUSTRIA,2,Benny's Video - Haneke 1992.avi; ._Benny's Video - Haneke 1992.avi,2,Benny's Video - Haneke 1992.avi; ._Benny's Video - Haneke 1992.avi,741509120,707.2 MB,avi,0,No,1992,Benny's Video,,AUT,4
Besieged - Bertolucci 1998,2,Besieged - Bertolucci 1998.avi; Besieged - Bertolucci 1998.srt,1,Besieged - Bertolucci 1998.avi,736206848,702.1 MB,avi,0,No,1998,Besieged,Bertolucci ,,8
Big Eyes (2014),2,Big.Eyes.2014.720p.BluRay.x264-SPARKS.srt; Big.Eyes.2014.720p.BluRay.x264.YIFY.mp4,1,Big.Eyes.2014.720p.BluRay.x264.YIFY.mp4,850951595,811.5 MB,mp4,0,No,2014,Big Eyes,,,7
Big Fish [2003] US Tim Burton,1,Big Fish (2003).720p.700mb.mkv,1,Big Fish (2003).720p.700mb.mkv,729356984,695.6 MB,mkv,0,No,2003,Big Fish,Tim Burton,USA,4
Big Hero 6 [2014] US Don Hall & Chris Williams,2,Big.Hero.6.2014.720p.BluRay.x264.YIFY.mp4; WWW.YTS.RE.jpg,1,Big.Hero.6.2014.720p.BluRay.x264.YIFY.mp4,849415760,810.1 MB,mp4,0,No,2014,Big Hero 6,Don Hall & Chris Williams,USA,4
Birdman (2014),4,Birdman.2014.720p.BluRay.x264-SPARKS.srt; ._Birdman.2014.720p.BluRay.x264-SPARKS.srt; Birdman.2014.720p.BluRay.x264.YIFY.mp4; WWW.YTS.RE.jpg,1,Birdman.2014.720p.BluRay.x264.YIFY.mp4,908665147,866.6 MB,mp4,0,No,2014,Birdman,,,7
"Black cat, White cat [1998] YUG Emir Kusturica",1,"Crna Macka, Beli Macor (Black Cat, White Cat) [1998].mkv",1,"Crna Macka, Beli Macor (Black Cat, White Cat) [1998].mkv",735400305,701.3 MB,mkv,0,No,1998,"Black cat, White cat",YUG Emir Kusturica,,6
Black Snake Moan [2006],1,Black.Snake.Moan.2006.1080p.BluRay.x264-FSiHD.mkv,1,Black.Snake.Moan.2006.1080p.BluRay.x264-FSiHD.mkv,8530123740,7.9 GB,mkv,0,No,2006,Black Snake Moan,,,5
Black Swan [2010] US,1,El Cisne Negro_subtitulos spanish español.avi,1,El Cisne Negro_subtitulos spanish español.avi,733280256,699.3 MB,avi,0,No,2010,Black Swan,,USA,4
Blade Runner [1982] US Ridley Scott,2,Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.mkv; Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.nfo,1,Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.mkv,2198190626,2.0 GB,mkv,0,No,1982,Blade Runner,Ridley Scott,USA,4
Blood in the moon -  Wise 1948,3,Blood in the moon -  Wise 1948.avi; ._Blood in the moon -  Wise 1948.avi; Blood in the moon -  Wise 1948.srt,2,Blood in the moon -  Wise 1948.avi; ._Blood in the moon -  Wise 1948.avi,723374080,689.9 MB,avi,0,No,1948,Blood in the moon,Wise ,,8
Blue Velvet [1986] US David Lynch,3,Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].avi; Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].English.srt; Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].Spanish.srt,1,Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].avi,2012540928,1.9 GB,avi,0,No,1986,Blue Velvet,David Lynch,USA,4
Blues In The Night -  Litvak 1941,3,Blues In The Night -  Litvak 1941.avi; ._Blues In The Night -  Litvak 1941.avi; Blues In The Night -  Litvak 1941.srt,2,Blues In The Night -  Litvak 1941.avi; ._Blues In The Night -  Litvak 1941.avi,731232256,697.4 MB,avi,0,No,1941,Blues In The Night,Litvak ,,8
Bolwieser - Fassbinder 1976,3,Bolwieser - Fassbinder 1976.avi; ._Bolwieser - Fassbinder 1976.avi; Bolwieser - Fassbinder 1976.srt,2,Bolwieser - Fassbinder 1976.avi; ._Bolwieser - Fassbinder 1976.avi,733233152,699.3 MB,avi,0,No,1976,Bolwieser,Fassbinder ,,8
Boy Meets Girl - Carax 1984,4,Boy Meets Girl - Carax 1984.avi; ._Boy Meets Girl - Carax 1984.avi; Boy Meets Girl - Carax 1984.srt; ._Boy Meets Girl - Carax 1984.srt,2,Boy Meets Girl - Carax 1984.avi; ._Boy Meets Girl - Carax 1984.avi,735619072,701.5 MB,avi,0,No,1984,Boy Meets Girl,Carax ,,8
Boyhood (2014),2,Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].mp4; Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].srt,1,Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].mp4,2846942201,2.7 GB,mp4,0,No,2014,Boyhood,,,7
Breaking the Waves [1996] DEN Lars Von Trier,2,Breaking the Waves (1996).avi; Breaking the Waves (1996).FR.srt,1,Breaking the Waves (1996).avi,1485631732,1.4 GB,avi,0,No,1996,Breaking the Waves,Lars Von Trier,DNK,4
Byôsoku go Senchimêtoru (5 Centimeters per Second) [2007] JAP Makoto Shinkai,1,5 Centimetros por Segundo VOS ESP.avi,1,5 Centimetros por Segundo VOS ESP.avi,740114432,705.8 MB,avi,0,No,2007,Byôsoku go Senchimêtoru (5 Centimeters per Second),Makoto Shinkai,JPN,4
C'est arrive pres de chez vous [1992] BEL Benoît Poelvoorde,5,Dutch.srt; English.srt; Man Bites Dog (1992).mp4; Spanish.srt; Swedish.srt,1,Man Bites Dog (1992).mp4,1564123919,1.5 GB,mp4,0,No,1992,C'est arrive pres de chez vous,Benoît Poelvoorde,BEL,4
Cabaret [1972] US Bob Fosse,4,Cabaret [1972 PAL DVD5][En.Es Multisubs[5].iso; ._Cabaret [1972 PAL DVD5][En.Es Multisubs[5].iso; Torrent downloaded from Demonoid.com.txt; [Movie] from Scratzz®.txt,0,,0,0 B,,1,Covers,1972,Cabaret,Bob Fosse,USA,4
California dreamin’ (Nesfarsit) [2007] RUM Cristian Nemescu,6,._California Dreamin' 1 - Nemescu 2007.avi; ._California Dreamin' 2 - Nemescu 2007.avi; California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd1.FR.srt; ._California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd1.FR.srt; California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd2.FR.srt; ._California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd2.FR.srt,2,._California Dreamin' 1 - Nemescu 2007.avi; ._California Dreamin' 2 - Nemescu 2007.avi,8192,8.0 KB,avi,0,No,2007,California dreamin’ (Nesfarsit),Cristian Nemescu,ROU,4
Cannibal Holocaust [1980] IT Ruggero Deodato,5,chu.xvid.qix.avi; chu.xvid.qix.nfo; chu.xvid.qix.sfv; Read This Guide Now.txt; www.Torrentday.com.txt,1,chu.xvid.qix.avi,730560512,696.7 MB,avi,0,No,1980,Cannibal Holocaust,Ruggero Deodato,ITA,4
Carne [1991] FR Noe,2,Noé 1991 - Carne.avi; Noé 1991 - Carne.srt,1,Noé 1991 - Carne.avi,712690500,679.7 MB,avi,0,No,1991,Carne,Noe,FRA,4
Carne de horca [1953] ES-IT Ladislao Wajda,2,Carne de horca - Wajda 1953.avi; ._Carne de horca - Wajda 1953.avi,2,Carne de horca - Wajda 1953.avi; ._Carne de horca - Wajda 1953.avi,723700332,690.2 MB,avi,0,No,1953,Carne de horca,-IT Ladislao Wajda,ESP,4
Carne Trémula [1997] ES Pedro Almodovar,2,"1997 Carne tremula (701,7 Mo).srt; Carne tremula.avi",1,Carne tremula.avi,729948160,696.1 MB,avi,0,No,1997,Carne Trémula,Pedro Almodovar,ESP,4
Casse-tête chinois [2013] FR Cédric Klapisch,1,Casse Tete Chinois 2013.mkv,1,Casse Tete Chinois 2013.mkv,894394803,853.0 MB,mkv,0,No,2013,Casse-tête chinois,Cédric Klapisch,FRA,4
Charlie and the Chocolate Factory (2005),2,Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.mp4; Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.srt,1,Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.mp4,787501267,751.0 MB,mp4,0,No,2005,Charlie and the Chocolate Factory,,,7
Chicago [2002] US Rob Marshall,3,Chicago Musical 2002 BluRay 720p x264.DTS.mkv; chicago.srt; halcyon-chicago.720p-x264.French.ass,1,Chicago Musical 2002 BluRay 720p x264.DTS.mkv,6979877751,6.5 GB,mkv,0,No,2002,Chicago,Rob Marshall,USA,4
Chimera,1,La chimera (La quimera) (2023) cast.mp4,1,La chimera (La quimera) (2023) cast.mp4,3042975588,2.8 GB,mp4,0,No,,Chimera,,,1
Cidade de Deus [2002] BRA Fernando Meirelles,4,Cidade de Deus - Meirelles 2002.avi; ._Cidade de Deus - Meirelles 2002.avi; Cidade de Deus - Meirelles 2002.srt; ._Cidade de Deus - Meirelles 2002.srt,2,Cidade de Deus - Meirelles 2002.avi; ._Cidade de Deus - Meirelles 2002.avi,2348138496,2.2 GB,avi,0,No,2002,Cidade de Deus,Fernando Meirelles,BRA,4
Cielo negro,2,Cielo negro - Mur Oti 1951.avi; ._Cielo negro - Mur Oti 1951.avi,2,Cielo negro - Mur Oti 1951.avi; ._Cielo negro - Mur Oti 1951.avi,690677760,658.7 MB,avi,0,No,,Cielo Negro,,,1
City for Conquest,3,City for Conquest - Litvak 1940.avi; City for Conquest - Litvak 1940.srt; ._City for Conquest - Litvak 1940.srt,1,City for Conquest - Litvak 1940.avi,730148864,696.3 MB,avi,0,No,,City For Conquest,,,1
Cleo De 5 A 7 - Varda 1962,2,Cleo De 5 A 7 - Varda 1962.avi; ._Cleo De 5 A 7 - Varda 1962.avi,2,Cleo De 5 A 7 - Varda 1962.avi; ._Cleo De 5 A 7 - Varda 1962.avi,875491492,834.9 MB,avi,0,No,1962,Cleo De 5 A 7,Varda ,,8
Close Encounters of the Third Kind (1977),3,Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.mp4; Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg,1,Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.mp4,788951867,752.4 MB,mp4,1,Other,1977,Close Encounters of the Third Kind,,,7
Clouds of Sils Maria 2014,3,Clouds of Sils Maria 2014 1080p BRRip x264 DTS-JYK.srt; ._Clouds of Sils Maria 2014 1080p BRRip x264 DTS-JYK.srt; Clouds of Sils Maria 2014 720p WEB-DL 999MB-MMKV.mkv,1,Clouds of Sils Maria 2014 720p WEB-DL 999MB-MMKV.mkv,1047520941,999.0 MB,mkv,0,No,2014,Clouds of Sils Maria,,,9
Coffee and Cigarettes III [1993] US Jarmusch,1,Coffee and Cigarettes III [1993] US Jarmusch.avi,1,Coffee and Cigarettes III [1993] US Jarmusch.avi,146294408,139.5 MB,avi,0,No,1993,Coffee and Cigarettes III,Jarmusch,USA,4
Coraline [2009] US Henry Selick,1,Coraline VOS.avi,1,Coraline VOS.avi,732192768,698.3 MB,avi,0,No,2009,Coraline,Henry Selick,USA,4
Corpo Celeste,1,Corpo Celeste (2011).ita.sub.eng.MIRcrew.srt,0,,0,0 B,,0,No,,Corpo Celeste,,,1
Corpo Celeste (2011),3,Corpo Celeste (2011).ita.sub.eng.MIRcrew.avi; Corpo Celeste (2011).ita.sub.eng.MIRcrew.eng.idx; Corpo Celeste (2011).ita.sub.eng.MIRcrew.eng.sub,1,Corpo Celeste (2011).ita.sub.eng.MIRcrew.avi,1565550592,1.5 GB,avi,0,No,2011,Corpo Celeste,,,7
Cosmopolis [2012] CA David Cronenberg,3,l-cosmopolis.xvid.avi; l-cosmopolis.xvid.nfo; Torrent Downloaded From ExtraTorrent.com.txt,1,l-cosmopolis.xvid.avi,733964288,700.0 MB,avi,1,Proof,2012,Cosmopolis,David Cronenberg,CAN,4
Crack-Up - Reis 1946,3,Crack-Up - Reis 1946.avi; ._Crack-Up - Reis 1946.avi; Crack-Up - Reis 1946.srt,2,Crack-Up - Reis 1946.avi; ._Crack-Up - Reis 1946.avi,1386043392,1.3 GB,avi,0,No,1946,Crack,Reis ,,8
Crash [1996] CA David Cronenberg,2,Crash.(1996).David.Cronenberg.avi; Tracked_by_Demonoid_com.txt,1,Crash.(1996).David.Cronenberg.avi,734754816,700.7 MB,avi,0,No,1996,Crash,David Cronenberg,CAN,4
Crossroads - Conway 1942,3,Crossroads - Conway 1942.avi; ._Crossroads - Conway 1942.avi; Crossroads - Conway 1942.srt,2,Crossroads - Conway 1942.avi; ._Crossroads - Conway 1942.avi,1139508054,1.1 GB,avi,0,No,1942,Crossroads,Conway ,,8
Cry Baby [1990] US John Waters,1,ewdp-crybaby.xvid.avi,1,ewdp-crybaby.xvid.avi,732495872,698.6 MB,avi,2,Sample; Subs,1990,Cry Baby,John Waters,USA,4
Cuando Pasan Las Cigueñas - Kalatozov 1957,3,Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; ._Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; Cuando Pasan Las Cigueñas - Kalatozov 1957.srt,2,Cuando Pasan Las Cigueñas - Kalatozov 1957.avi; ._Cuando Pasan Las Cigueñas - Kalatozov 1957.avi,734038016,700.0 MB,avi,0,No,1957,Cuando Pasan Las Cigueñas,Kalatozov ,,8
Céline et Julie vont en bateau [1974] FR Jacques Rivette,3,Céline.et.Julie.vont.en.bateau.(cd1)[J.Rivette-VOSE).mpg; Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi; ._Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi,3,Céline.et.Julie.vont.en.bateau.(cd1)[J.Rivette-VOSE).mpg; Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi; ._Céline.et.Julie.vont.en.bateau.(cd2)[J.Rivette-VOSE).avi,2161061888,2.0 GB,avi; mpg,0,No,1974,Céline et Julie vont en bateau,Jacques Rivette,FRA,4
Dancer in the Dark [2000] DEN Lars Von Trier,1,Dancer In The Dark.avi,1,Dancer In The Dark.avi,756103168,721.1 MB,avi,0,No,2000,Dancer in the Dark,Lars Von Trier,DNK,4
Das Kabinett des Doktor Caligari [1920] GER Robert Wiene,2,"Kabinett des Doktor Caligari, Das (1920).avi; Kabinett des Doktor Caligari, Das (1920).srt",1,"Kabinett des Doktor Caligari, Das (1920).avi",733548544,699.6 MB,avi,0,No,1920,Das Kabinett des Doktor Caligari,Robert Wiene,DEU,4
De man die zijn haar kort liet knippen - Delvaux 1966,2,De man die zijn haar kort liet knippen - Delvaux 1966.avi; ._De man die zijn haar kort liet knippen - Delvaux 1966.avi,2,De man die zijn haar kort liet knippen - Delvaux 1966.avi; ._De man die zijn haar kort liet knippen - Delvaux 1966.avi,583106560,556.1 MB,avi,0,No,1966,De man die zijn haar kort liet knippen,Delvaux ,,8
